Price,Close,High,Low,Open,Volume
Ticker,GLD,GLD,GLD,GLD,GLD
Date,,,,,
2025-02-03,259.94000244140625,261.3900146484375,259.5199890136719,259.75,11521100
2025-02-04,262.5,262.5400085449219,261.3500061035156,261.8299865722656,9850400
2025-02-05,264.1300048828125,265.989990234375,263.8900146484375,264.45001220703125,12681100
2025-02-06,263.42999267578125,263.7200012207031,261.489990234375,263.6600036621094,8731400
2025-02-07,263.8999938964844,266.3500061035156,263.260009765625,265.2200012207031,9154000
2025-02-10,268.3699951171875,268.6600036621094,267.239990234375,268.0,13250300
2025-02-11,267.3900146484375,268.3599853515625,266.7099914550781,267.70001220703125,7169500
2025-02-12,267.6700134277344,268.42999267578125,266.3500061035156,267.1499938964844,9328600
2025-02-13,270.30999755859375,270.3900146484375,268.2200012207031,268.3999938964844,8347500
2025-02-14,266.2900085449219,270.2099914550781,265.45001220703125,270.07000732421875,11546700
2025-02-18,270.70001220703125,271.010009765625,269.6000061035156,269.67999267578125,8185900
2025-02-19,270.8500061035156,271.3299865722656,269.239990234375,270.67999267578125,9342500
2025-02-20,270.989990234375,271.8399963378906,270.1700134277344,270.2300109863281,7356900
2025-02-21,270.739990234375,271.510009765625,269.510009765625,270.79998779296875,8917400
2025-02-24,272.2099914550781,272.32000732421875,270.3800048828125,271.45001220703125,5374400
2025-02-25,268.6199951171875,271.67999267578125,266.45001220703125,271.4599914550781,10079800
2025-02-26,269.0299987792969,269.0799865722656,266.6600036621094,267.0799865722656,7276000
2025-02-27,264.92999267578125,266.6700134277344,264.45001220703125,266.489990234375,9374600
2025-02-28,263.2699890136719,263.3999938964844,261.25,262.55999755859375,11504500
2025-03-03,266.739990234375,266.8800048828125,265.07000732421875,265.07000732421875,7725600
2025-03-04,269.05999755859375,269.3999938964844,267.5199890136719,269.010009765625,8481300
2025-03-05,269.6199951171875,270.260009765625,267.9599914550781,267.9700012207031,6990400
2025-03-06,268.25,269.510009765625,268.1600036621094,268.25,6136400
2025-03-07,268.3900146484375,270.3399963378906,267.6400146484375,269.0899963378906,10431200
2025-03-10,266.0400085449219,268.44000244140625,265.6400146484375,267.6199951171875,7593900
2025-03-11,269.1600036621094,269.7300109863281,268.44000244140625,268.4700012207031,8436600
2025-03-12,270.3299865722656,271.2300109863281,268.3599853515625,268.4700012207031,7236200
2025-03-13,275.1300048828125,275.3500061035156,271.54998779296875,271.57000732421875,13741500
2025-03-14,275.239990234375,276.29998779296875,274.6600036621094,276.2699890136719,13365000
2025-03-17,276.7300109863281,276.7900085449219,275.3900146484375,275.5400085449219,8583400
2025-03-18,279.9599914550781,280.2099914550781,278.9700012207031,279.8999938964844,9596500
2025-03-19,281.1099853515625,281.4800109863281,279.05999755859375,279.8500061035156,8822200
2025-03-20,280.75,280.8999938964844,279.42999267578125,279.489990234375,5863300
2025-03-21,278.489990234375,279.4599914550781,276.5899963378906,279.4599914550781,9359300
2025-03-24,277.25,279.0899963378906,276.8599853515625,278.9100036621094,7870100
2025-03-25,278.4700012207031,279.9599914550781,278.2699890136719,278.7799987792969,5090200
2025-03-26,278.239990234375,279.0199890136719,277.7799987792969,278.92999267578125,3717500
2025-03-27,281.9700012207031,282.07000732421875,279.5899963378906,280.54998779296875,8476300
